_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
13,2018Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,15817,"",12349,"",173.81318681318683,"",135.70329670329673,"",78.07422393627111,""
14,2018Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,15817,"",12349,"",173.81318681318683,"",135.70329670329673,"",78.07422393627111,""
15,2018Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15806,"",12390,"",171.804347826087,"",134.67391304347825,"",78.3879539415412,""
16,2018Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15806,"",12390,"",171.804347826087,"",134.67391304347825,"",78.3879539415412,""
17,2018Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,14852,"",11765,"",161.43478260869568,"",127.88043478260873,"",79.21492054942097,""
18,2018Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,14852,"",11765,"",161.43478260869568,"",127.88043478260873,"",79.21492054942097,""
19,2019Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,14783,"",11654,"",164.2555555555556,"",129.4888888888889,"",78.83379557599947,""
20,2019Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,14783,"",11654,"",164.2555555555556,"",129.4888888888889,"",78.83379557599947,""
21,2019Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,14929,"",11897,"",164.05494505494508,"",130.73626373626377,"",79.69053519994642,""
22,2019Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,14929,"",11897,"",164.05494505494508,"",130.73626373626377,"",79.69053519994642,""
23,2019Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15392,"",12067,"",167.304347826087,"",131.1630434782609,"",78.39786902286903,""
24,2019Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15392,"",12067,"",167.304347826087,"",131.1630434782609,"",78.39786902286903,""
25,2019Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,15603,"",11659,"",169.59782608695656,"",126.72826086956523,"",74.72280971608023,""
26,2019Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,15603,"",11659,"",169.59782608695656,"",126.72826086956523,"",74.72280971608023,""
27,2020Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,14896,"",10915,"",163.6923076923077,"",119.94505494505498,"",73.2747046186896,""
28,2020Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,14896,"",10915,"",163.6923076923077,"",119.94505494505498,"",73.2747046186896,""
29,2020Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,14366,"",8101,"",157.86813186813185,"",89.02197802197804,"",56.3900877070862,""
30,2020Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,14366,"",8101,"",157.86813186813185,"",89.02197802197804,"",56.3900877070862,""
31,2020Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15442,"",9934,"",167.84782608695656,"",107.97826086956523,"",64.3310452013988,""
32,2020Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15442,"",9934,"",167.84782608695656,"",107.97826086956523,"",64.3310452013988,""
33,2020Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,15665,"",11164,"",170.2717391304348,"",121.34782608695654,"",71.2671560804341,""
34,2020Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,15665,"",11164,"",170.2717391304348,"",121.34782608695654,"",71.2671560804341,""
35,2021Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,16547,"",12060,"",183.85555555555558,"",134,"",72.88330210914367,""
36,2021Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,16547,"",12060,"",183.85555555555558,"",134,"",72.88330210914367,""
37,2021Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,16159,"",12269,"",177.5714285714286,"",134.82417582417585,"",75.92672813911753,""
38,2021Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,16159,"",12269,"",177.5714285714286,"",134.82417582417585,"",75.92672813911753,""
39,2021Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,16897,"",12029,"",183.6630434782609,"",130.75,"",71.19015209800558,""
40,2021Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,16897,"",12029,"",183.6630434782609,"",130.75,"",71.19015209800558,""
41,2021Q4,p,SB0801,"",D102H,"", ,z,All Acute,d,17794,"",12613,"",193.4130434782609,"",137.09782608695653,"",70.88344385748007,""
42,2021Q4,p,SB0801,"",SB0801,d, ,z,All Acute,d,17794,"",12613,"",193.4130434782609,"",137.09782608695653,"",70.88344385748007,""
43,2016Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16117,"",12049,"",175.18478260869568,"",130.9673913043478,"",74.75957063969722,""
44,2016Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16117,"",12049,"",175.18478260869568,"",130.9673913043478,"",74.75957063969722,""
45,2017Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15622,"",11569,"",173.5777777777778,"",128.54444444444445,"",74.05581871719372,""
46,2017Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15622,"",11569,"",173.5777777777778,"",128.54444444444445,"",74.05581871719372,""
47,2017Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15604,"",11614,"",171.4725274725275,"",127.62637362637363,"",74.42963342732634,""
48,2017Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15604,"",11614,"",171.4725274725275,"",127.62637362637363,"",74.42963342732634,""
49,2017Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15426,"",11658,"",167.67391304347828,"",126.71739130434786,"",75.57370672889928,""
50,2017Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15426,"",11658,"",167.67391304347828,"",126.71739130434786,"",75.57370672889928,""
51,2017Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16159,"",12434,"",175.64130434782612,"",135.1521739130435,"",76.94783093013183,""
52,2017Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16159,"",12434,"",175.64130434782612,"",135.1521739130435,"",76.94783093013183,""
53,2018Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15681,"",11871,"",174.23333333333335,"",131.9,"",75.70308016070406,""
54,2018Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15681,"",11871,"",174.23333333333335,"",131.9,"",75.70308016070406,""
55,2018Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15817,"",12349,"",173.81318681318683,"",135.70329670329673,"",78.07422393627111,""
56,2018Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15817,"",12349,"",173.81318681318683,"",135.70329670329673,"",78.07422393627111,""
57,2018Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15806,"",12390,"",171.804347826087,"",134.67391304347825,"",78.3879539415412,""
58,2018Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15806,"",12390,"",171.804347826087,"",134.67391304347825,"",78.3879539415412,""
59,2018Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14852,"",11765,"",161.43478260869568,"",127.88043478260873,"",79.21492054942097,""
60,2018Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14852,"",11765,"",161.43478260869568,"",127.88043478260873,"",79.21492054942097,""
61,2019Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14783,"",11654,"",164.2555555555556,"",129.4888888888889,"",78.83379557599947,""
62,2019Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14783,"",11654,"",164.2555555555556,"",129.4888888888889,"",78.83379557599947,""
63,2019Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14929,"",11897,"",164.05494505494508,"",130.73626373626377,"",79.69053519994642,""
64,2019Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14929,"",11897,"",164.05494505494508,"",130.73626373626377,"",79.69053519994642,""
65,2019Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15392,"",12067,"",167.304347826087,"",131.1630434782609,"",78.39786902286903,""
66,2019Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15392,"",12067,"",167.304347826087,"",131.1630434782609,"",78.39786902286903,""
67,2019Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15603,"",11659,"",169.59782608695656,"",126.72826086956523,"",74.72280971608023,""
68,2019Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15603,"",11659,"",169.59782608695656,"",126.72826086956523,"",74.72280971608023,""
69,2020Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14896,"",10915,"",163.6923076923077,"",119.94505494505498,"",73.2747046186896,""
70,2020Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14896,"",10915,"",163.6923076923077,"",119.94505494505498,"",73.2747046186896,""
71,2020Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,14417,"",8152,"",158.42857142857144,"",89.58241758241759,"",56.5443573558993,""
72,2020Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,14417,"",8152,"",158.42857142857144,"",89.58241758241759,"",56.5443573558993,""
73,2020Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15524,"",10016,"",168.73913043478262,"",108.86956521739133,"",64.51945374903374,""
74,2020Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15524,"",10016,"",168.73913043478262,"",108.86956521739133,"",64.51945374903374,""
75,2020Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15756,"",11255,"",171.26086956521743,"",122.33695652173914,"",71.43310484894644,""
76,2020Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15756,"",11255,"",171.26086956521743,"",122.33695652173914,"",71.43310484894644,""
77,2021Q1,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16637,"",12150,"",184.85555555555558,"",135,"",73.02999338823106,""
78,2021Q1,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16637,"",12150,"",184.85555555555558,"",135,"",73.02999338823106,""
79,2021Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16240,"",12350,"",178.46153846153848,"",135.71428571428575,"",76.04679802955665,""
80,2021Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16240,"",12350,"",178.46153846153848,"",135.71428571428575,"",76.04679802955665,""
81,2021Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16931,"",12063,"",184.03260869565224,"",131.1195652173913,"",71.24800661508478,""
82,2021Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16931,"",12063,"",184.03260869565224,"",131.1195652173913,"",71.24800661508478,""
83,2021Q4,p,SB0801,"",D102H,"",Z9,d,All Specialties,d,17796,"",12615,"",193.4347826086957,"",137.11956521739134,"",70.88671611598113,""
84,2021Q4,p,SB0801,"",SB0801,d,Z9,d,All Specialties,d,17796,"",12615,"",193.4347826086957,"",137.11956521739134,"",70.88671611598113,""
85,2017Q2,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",8,"",8,"",0.08791208791208795,"",0.08791208791208795,"",100,""
86,2017Q2,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",8,"",8,"",0.08791208791208795,"",0.08791208791208795,"",100,""
87,2017Q4,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",7,"",7,"",0.07608695652173916,"",0.07608695652173916,"",100,""
88,2017Q4,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",7,"",7,"",0.07608695652173916,"",0.07608695652173916,"",100,""
89,2020Q2,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",56,"",56,"",0.6153846153846155,"",0.6153846153846155,"",100,""
90,2020Q2,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",56,"",56,"",0.6153846153846155,"",0.6153846153846155,"",100,""
91,2020Q4,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",17,"",17,"",0.18478260869565222,"",0.18478260869565222,"",100,""
92,2020Q4,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",17,"",17,"",0.18478260869565222,"",0.18478260869565222,"",100,""
93,2021Q1,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",36,"",36,"",0.4,"",0.4,"",100,""
94,2021Q1,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",36,"",36,"",0.4,"",0.4,"",100,""
95,2021Q3,"",SB0801,"",D102H,"",C3,"",Anaesthetics,"",1,"",1,"",0.010869565217391308,"",0.010869565217391308,"",100,""
96,2021Q3,"",SB0801,"",SB0801,d,C3,"",Anaesthetics,"",1,"",1,"",0.010869565217391308,"",0.010869565217391308,"",100,""
97,2021Q4,p,SB0801,"",D102H,"",C3,"",Anaesthetics,"",24,"",24,"",0.26086956521739135,"",0.26086956521739135,"",100,""
98,2021Q4,p,SB0801,"",SB0801,d,C3,"",Anaesthetics,"",24,"",24,"",0.26086956521739135,"",0.26086956521739135,"",100,""
99,2016Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2443,"",2162,"",26.554347826086968,"",23.5,"",88.49774866966845,""
100,2016Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2443,"",2162,"",26.554347826086968,"",23.5,"",88.49774866966845,""
101,2017Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2306,"",2032,"",25.62222222222223,"",22.577777777777783,"",88.11795316565482,""
102,2017Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2306,"",2032,"",25.62222222222223,"",22.577777777777783,"",88.11795316565482,""
103,2017Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2561,"",2268,"",28.14285714285715,"",24.92307692307693,"",88.55915657946116,""
104,2017Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2561,"",2268,"",28.14285714285715,"",24.92307692307693,"",88.55915657946116,""
105,2017Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2492,"",2148,"",27.086956521739133,"",23.34782608695653,"",86.19582664526487,""
106,2017Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2492,"",2148,"",27.086956521739133,"",23.34782608695653,"",86.19582664526487,""
107,2017Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2635,"",2312,"",28.641304347826097,"",25.1304347826087,"",87.74193548387099,""
108,2017Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2635,"",2312,"",28.641304347826097,"",25.1304347826087,"",87.74193548387099,""
109,2018Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2395,"",2050,"",26.611111111111114,"",22.777777777777782,"",85.59498956158666,""
110,2018Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2395,"",2050,"",26.611111111111114,"",22.777777777777782,"",85.59498956158666,""
111,2018Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2574,"",2294,"",28.285714285714292,"",25.208791208791215,"",89.12198912198913,""
112,2018Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2574,"",2294,"",28.285714285714292,"",25.208791208791215,"",89.12198912198913,""
113,2018Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2728,"",2396,"",29.652173913043487,"",26.043478260869573,"",87.82991202346044,""
114,2018Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2728,"",2396,"",29.652173913043487,"",26.043478260869573,"",87.82991202346044,""
115,2018Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2920,"",2574,"",31.739130434782616,"",27.978260869565226,"",88.15068493150686,""
116,2018Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2920,"",2574,"",31.739130434782616,"",27.978260869565226,"",88.15068493150686,""
117,2019Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2757,"",2483,"",30.63333333333334,"",27.588888888888896,"",90.06166122597027,""
118,2019Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2757,"",2483,"",30.63333333333334,"",27.588888888888896,"",90.06166122597027,""
119,2019Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2637,"",2363,"",28.97802197802198,"",25.967032967032974,"",89.60940462646948,""
120,2019Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2637,"",2363,"",28.97802197802198,"",25.967032967032974,"",89.60940462646948,""
121,2019Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2740,"",2352,"",29.782608695652183,"",25.565217391304355,"",85.83941605839418,""
122,2019Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2740,"",2352,"",29.782608695652183,"",25.565217391304355,"",85.83941605839418,""
123,2019Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2591,"",2276,"",28.163043478260875,"",24.739130434782613,"",87.84253184098804,""
124,2019Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2591,"",2276,"",28.163043478260875,"",24.739130434782613,"",87.84253184098804,""
125,2020Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",2692,"",2248,"",29.58241758241759,"",24.70329670329671,"",83.5066864784547,""
126,2020Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",2692,"",2248,"",29.58241758241759,"",24.70329670329671,"",83.5066864784547,""
127,2020Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4515,"",3294,"",49.61538461538462,"",36.197802197802204,"",72.95681063122926,""
128,2020Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4515,"",3294,"",49.61538461538462,"",36.197802197802204,"",72.95681063122926,""
129,2020Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4112,"",3011,"",44.695652173913054,"",32.728260869565226,"",73.22470817120623,""
130,2020Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4112,"",3011,"",44.695652173913054,"",32.728260869565226,"",73.22470817120623,""
131,2020Q4,"",SB0801,"",D102H,"",A2,"",Cardiology,"",3667,"",2548,"",39.85869565217393,"",27.69565217391305,"",69.48459230979003,""
132,2020Q4,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",3667,"",2548,"",39.85869565217393,"",27.69565217391305,"",69.48459230979003,""
133,2021Q1,"",SB0801,"",D102H,"",A2,"",Cardiology,"",4251,"",3061,"",47.23333333333334,"",34.01111111111111,"",72.00658668548579,""
134,2021Q1,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",4251,"",3061,"",47.23333333333334,"",34.01111111111111,"",72.00658668548579,""
135,2021Q2,"",SB0801,"",D102H,"",A2,"",Cardiology,"",3400,"",3118,"",37.36263736263738,"",34.26373626373626,"",91.70588235294117,""
136,2021Q2,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",3400,"",3118,"",37.36263736263738,"",34.26373626373626,"",91.70588235294117,""
137,2021Q3,"",SB0801,"",D102H,"",A2,"",Cardiology,"",3682,"",3196,"",40.02173913043479,"",34.739130434782616,"",86.80065181966324,""
138,2021Q3,"",SB0801,"",SB0801,d,A2,"",Cardiology,"",3682,"",3196,"",40.02173913043479,"",34.739130434782616,"",86.80065181966324,""
139,2021Q4,p,SB0801,"",D102H,"",A2,"",Cardiology,"",4530,"",3746,"",49.239130434782616,"",40.717391304347835,"",82.69315673289185,""
140,2021Q4,p,SB0801,"",SB0801,d,A2,"",Cardiology,"",4530,"",3746,"",49.239130434782616,"",40.717391304347835,"",82.69315673289185,""
141,2016Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",8043,"",5576,"",87.42391304347828,"",60.608695652173935,"",69.32736541091631,""
142,2016Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",8043,"",5576,"",87.42391304347828,"",60.608695652173935,"",69.32736541091631,""
143,2017Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7771,"",5234,"",86.34444444444446,"",58.155555555555566,"",67.35297902457857,""
144,2017Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7771,"",5234,"",86.34444444444446,"",58.155555555555566,"",67.35297902457857,""
145,2017Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7581,"",5418,"",83.30769230769232,"",59.53846153846155,"",71.46814404432133,""
146,2017Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7581,"",5418,"",83.30769230769232,"",59.53846153846155,"",71.46814404432133,""
147,2017Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7675,"",5552,"",83.42391304347828,"",60.34782608695653,"",72.33876221498372,""
148,2017Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7675,"",5552,"",83.42391304347828,"",60.34782608695653,"",72.33876221498372,""
149,2017Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7791,"",5661,"",84.68478260869567,"",61.53260869565218,"",72.66076241817483,""
150,2017Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7791,"",5661,"",84.68478260869567,"",61.53260869565218,"",72.66076241817483,""
151,2018Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7781,"",5858,"",86.45555555555556,"",65.0888888888889,"",75.2859529623442,""
152,2018Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7781,"",5858,"",86.45555555555556,"",65.0888888888889,"",75.2859529623442,""
153,2018Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7818,"",6052,"",85.91208791208793,"",66.50549450549453,"",77.41110258378103,""
154,2018Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7818,"",6052,"",85.91208791208793,"",66.50549450549453,"",77.41110258378103,""
155,2018Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7681,"",5916,"",83.48913043478262,"",64.30434782608695,"",77.02122119515688,""
156,2018Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7681,"",5916,"",83.48913043478262,"",64.30434782608695,"",77.02122119515688,""
157,2018Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7176,"",5497,"",78,"",59.75,"",76.60256410256412,""
158,2018Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7176,"",5497,"",78,"",59.75,"",76.60256410256412,""
159,2019Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7230,"",5644,"",80.33333333333334,"",62.71111111111112,"",78.06362378976489,""
160,2019Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7230,"",5644,"",80.33333333333334,"",62.71111111111112,"",78.06362378976489,""
161,2019Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7428,"",6188,"",81.62637362637363,"",68,"",83.30640818524505,""
162,2019Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7428,"",6188,"",81.62637362637363,"",68,"",83.30640818524505,""
163,2019Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7644,"",6197,"",83.08695652173914,"",67.3586956521739,"",81.07012035583466,""
164,2019Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7644,"",6197,"",83.08695652173914,"",67.3586956521739,"",81.07012035583466,""
165,2019Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7877,"",6165,"",85.61956521739131,"",67.0108695652174,"",78.26583724768315,""
166,2019Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7877,"",6165,"",85.61956521739131,"",67.0108695652174,"",78.26583724768315,""
167,2020Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7486,"",5828,"",82.26373626373628,"",64.04395604395604,"",77.85199038204651,""
168,2020Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7486,"",5828,"",82.26373626373628,"",64.04395604395604,"",77.85199038204651,""
169,2020Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",6612,"",3707,"",72.65934065934067,"",40.736263736263744,"",56.06473079249851,""
170,2020Q2,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",6612,"",3707,"",72.65934065934067,"",40.736263736263744,"",56.06473079249851,""
171,2020Q3,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7074,"",5123,"",76.89130434782612,"",55.684782608695656,"",72.42013005371786,""
172,2020Q3,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7074,"",5123,"",76.89130434782612,"",55.684782608695656,"",72.42013005371786,""
173,2020Q4,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",6981,"",5396,"",75.88043478260872,"",58.65217391304349,"",77.29551640166166,""
174,2020Q4,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",6981,"",5396,"",75.88043478260872,"",58.65217391304349,"",77.29551640166166,""
175,2021Q1,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7232,"",5083,"",80.35555555555557,"",56.47777777777779,"",70.28484513274337,""
176,2021Q1,"",SB0801,"",SB0801,d,C4,"",Cardiothoracic Surgery,"",7232,"",5083,"",80.35555555555557,"",56.47777777777779,"",70.28484513274337,""
177,2021Q2,"",SB0801,"",D102H,"",C4,"",Cardiothoracic Surgery,"",7502,"",5413,"",82.43956043956045,"",59.48351648351649,"",72.15409224206878,""
