"","date","year","month","day","quarter","week","hb","hb_name","simd_quintile","admission_type","number_admissions","average20182019","percent_variation"
"46",2020-01-05,2020,1,5,1,1,"S08000029","NHS Fife",5,"All",112,117.5,-4.7
"47",2020-01-05,2020,1,5,1,1,"S08000030","NHS Tayside",1,"All",252,258,-2.3
"48",2020-01-05,2020,1,5,1,1,"S08000030","NHS Tayside",2,"All",226,246.5,-8.3
"49",2020-01-05,2020,1,5,1,1,"S08000030","NHS Tayside",3,"All",193,223,-13.5
"50",2020-01-05,2020,1,5,1,1,"S08000030","NHS Tayside",4,"All",271,259,4.6
"51",2020-01-05,2020,1,5,1,1,"S08000030","NHS Tayside",5,"All",189,180.5,4.7
"52",2020-01-05,2020,1,5,1,1,"S08000031","NHS Greater Glasgow and Clyde",1,"All",1410,1516.5,-7
"53",2020-01-05,2020,1,5,1,1,"S08000031","NHS Greater Glasgow and Clyde",2,"All",745,723,3
"54",2020-01-05,2020,1,5,1,1,"S08000031","NHS Greater Glasgow and Clyde",3,"All",527,498.5,5.7
"55",2020-01-05,2020,1,5,1,1,"S08000031","NHS Greater Glasgow and Clyde",4,"All",402,448,-10.3
"56",2020-01-05,2020,1,5,1,1,"S08000031","NHS Greater Glasgow and Clyde",5,"All",468,479,-2.3
"57",2020-01-05,2020,1,5,1,1,"S08000032","NHS Lanarkshire",1,"All",564,553,2
"58",2020-01-05,2020,1,5,1,1,"S08000032","NHS Lanarkshire",2,"All",451,467,-3.4
"59",2020-01-05,2020,1,5,1,1,"S08000032","NHS Lanarkshire",3,"All",290,288,0.7
"60",2020-01-05,2020,1,5,1,1,"S08000032","NHS Lanarkshire",4,"All",197,199.5,-1.3
"61",2020-01-05,2020,1,5,1,1,"S08000032","NHS Lanarkshire",5,"All",134,136.5,-1.8
"62",2020-01-05,2020,1,5,1,1,NA,NA,1,"All",3632,3900.5,-6.9
"63",2020-01-05,2020,1,5,1,1,NA,NA,2,"All",3199,3334.5,-4.1
"64",2020-01-05,2020,1,5,1,1,NA,NA,3,"All",2757,2792,-1.3
"65",2020-01-05,2020,1,5,1,1,NA,NA,4,"All",2325,2351.5,-1.1
"66",2020-01-05,2020,1,5,1,1,NA,NA,5,"All",1887,1967,-4.1
"67",2020-01-12,2020,1,12,1,2,"S08000015","NHS Ayrshire and Arran",1,"All",448,419,6.9
"68",2020-01-12,2020,1,12,1,2,"S08000015","NHS Ayrshire and Arran",2,"All",264,284,-7
"69",2020-01-12,2020,1,12,1,2,"S08000015","NHS Ayrshire and Arran",3,"All",156,209.5,-25.5
"70",2020-01-12,2020,1,12,1,2,"S08000015","NHS Ayrshire and Arran",4,"All",117,141.5,-17.3
"71",2020-01-12,2020,1,12,1,2,"S08000015","NHS Ayrshire and Arran",5,"All",101,114.5,-11.8
"72",2020-01-12,2020,1,12,1,2,"S08000016","NHS Borders",1,"All",14,14,0
"73",2020-01-12,2020,1,12,1,2,"S08000016","NHS Borders",2,"All",50,60.5,-17.4
"74",2020-01-12,2020,1,12,1,2,"S08000016","NHS Borders",3,"All",97,108,-10.2
"75",2020-01-12,2020,1,12,1,2,"S08000016","NHS Borders",4,"All",63,66.5,-5.3
"76",2020-01-12,2020,1,12,1,2,"S08000016","NHS Borders",5,"All",11,17.5,-37.1
"77",2020-01-12,2020,1,12,1,2,"S08000017","NHS Dumfries and Galloway",1,"All",44,58,-24.1
"78",2020-01-12,2020,1,12,1,2,"S08000017","NHS Dumfries and Galloway",2,"All",121,127.5,-5.1
"79",2020-01-12,2020,1,12,1,2,"S08000017","NHS Dumfries and Galloway",3,"All",172,180,-4.4
"80",2020-01-12,2020,1,12,1,2,"S08000017","NHS Dumfries and Galloway",4,"All",67,74.5,-10.1
"81",2020-01-12,2020,1,12,1,2,"S08000017","NHS Dumfries and Galloway",5,"All",41,31,32.3
"82",2020-01-12,2020,1,12,1,2,"S08000019","NHS Forth Valley",1,"All",202,296.5,-31.9
"83",2020-01-12,2020,1,12,1,2,"S08000019","NHS Forth Valley",2,"All",206,326,-36.8
"84",2020-01-12,2020,1,12,1,2,"S08000019","NHS Forth Valley",3,"All",143,285.5,-49.9
"85",2020-01-12,2020,1,12,1,2,"S08000019","NHS Forth Valley",4,"All",124,231.5,-46.4
"86",2020-01-12,2020,1,12,1,2,"S08000019","NHS Forth Valley",5,"All",126,175,-28
"87",2020-01-12,2020,1,12,1,2,"S08000020","NHS Grampian",1,"All",115,113,1.8
"88",2020-01-12,2020,1,12,1,2,"S08000020","NHS Grampian",2,"All",250,267,-6.4
"89",2020-01-12,2020,1,12,1,2,"S08000020","NHS Grampian",3,"All",314,300.5,4.5
"90",2020-01-12,2020,1,12,1,2,"S08000020","NHS Grampian",4,"All",372,383,-2.9
"91",2020-01-12,2020,1,12,1,2,"S08000020","NHS Grampian",5,"All",273,290.5,-6
"92",2020-01-12,2020,1,12,1,2,"S08000022","NHS Highland",1,"All",105,91.5,14.8
"93",2020-01-12,2020,1,12,1,2,"S08000022","NHS Highland",2,"All",151,148,2
"94",2020-01-12,2020,1,12,1,2,"S08000022","NHS Highland",3,"All",266,272,-2.2
"95",2020-01-12,2020,1,12,1,2,"S08000022","NHS Highland",4,"All",204,188.5,8.2
"96",2020-01-12,2020,1,12,1,2,"S08000022","NHS Highland",5,"All",56,39.5,41.8
"97",2020-01-12,2020,1,12,1,2,"S08000024","NHS Lothian",1,"All",370,363,1.9
"98",2020-01-12,2020,1,12,1,2,"S08000024","NHS Lothian",2,"All",643,565.5,13.7
"99",2020-01-12,2020,1,12,1,2,"S08000024","NHS Lothian",3,"All",435,411.5,5.7
"100",2020-01-12,2020,1,12,1,2,"S08000024","NHS Lothian",4,"All",411,338.5,21.4
"101",2020-01-12,2020,1,12,1,2,"S08000024","NHS Lothian",5,"All",467,473,-1.3
"102",2020-01-12,2020,1,12,1,2,"S08000025","NHS Orkney",3,"All",8,8,0
"103",2020-01-12,2020,1,12,1,2,"S08000025","NHS Orkney",4,"All",31,23,34.8
"104",2020-01-12,2020,1,12,1,2,"S08000026","NHS Shetland",3,"All",14,16.5,-15.2
"105",2020-01-12,2020,1,12,1,2,"S08000026","NHS Shetland",4,"All",17,24,-29.2
"106",2020-01-12,2020,1,12,1,2,"S08000028","NHS Western Isles",2,"All",15,16,-6.2
"107",2020-01-12,2020,1,12,1,2,"S08000028","NHS Western Isles",3,"All",71,61,16.4
"108",2020-01-12,2020,1,12,1,2,"S08000029","NHS Fife",1,"All",258,246.5,4.7
"109",2020-01-12,2020,1,12,1,2,"S08000029","NHS Fife",2,"All",240,231.5,3.7
"110",2020-01-12,2020,1,12,1,2,"S08000029","NHS Fife",3,"All",174,183.5,-5.2
"111",2020-01-12,2020,1,12,1,2,"S08000029","NHS Fife",4,"All",157,155,1.3
"112",2020-01-12,2020,1,12,1,2,"S08000029","NHS Fife",5,"All",113,111.5,1.3
"113",2020-01-12,2020,1,12,1,2,"S08000030","NHS Tayside",1,"All",262,270.5,-3.1
"114",2020-01-12,2020,1,12,1,2,"S08000030","NHS Tayside",2,"All",249,249,0
"115",2020-01-12,2020,1,12,1,2,"S08000030","NHS Tayside",3,"All",260,249.5,4.2
"116",2020-01-12,2020,1,12,1,2,"S08000030","NHS Tayside",4,"All",339,309,9.7
"117",2020-01-12,2020,1,12,1,2,"S08000030","NHS Tayside",5,"All",199,191,4.2
"118",2020-01-12,2020,1,12,1,2,"S08000031","NHS Greater Glasgow and Clyde",1,"All",1660,1670,-0.6
"119",2020-01-12,2020,1,12,1,2,"S08000031","NHS Greater Glasgow and Clyde",2,"All",793,815,-2.7
"120",2020-01-12,2020,1,12,1,2,"S08000031","NHS Greater Glasgow and Clyde",3,"All",608,572.5,6.2
"121",2020-01-12,2020,1,12,1,2,"S08000031","NHS Greater Glasgow and Clyde",4,"All",513,506,1.4
"122",2020-01-12,2020,1,12,1,2,"S08000031","NHS Greater Glasgow and Clyde",5,"All",540,625.5,-13.7
"123",2020-01-12,2020,1,12,1,2,"S08000032","NHS Lanarkshire",1,"All",598,602.5,-0.7
"124",2020-01-12,2020,1,12,1,2,"S08000032","NHS Lanarkshire",2,"All",475,507,-6.3
"125",2020-01-12,2020,1,12,1,2,"S08000032","NHS Lanarkshire",3,"All",284,309.5,-8.2
"126",2020-01-12,2020,1,12,1,2,"S08000032","NHS Lanarkshire",4,"All",225,223,0.9
"127",2020-01-12,2020,1,12,1,2,"S08000032","NHS Lanarkshire",5,"All",138,144,-4.2
"128",2020-01-12,2020,1,12,1,2,NA,NA,1,"All",4076,4145,-1.7
"129",2020-01-12,2020,1,12,1,2,NA,NA,2,"All",3464,3610,-4
"130",2020-01-12,2020,1,12,1,2,NA,NA,3,"All",3002,3167.5,-5.2
"131",2020-01-12,2020,1,12,1,2,NA,NA,4,"All",2640,2664,-0.9
"132",2020-01-12,2020,1,12,1,2,NA,NA,5,"All",2065,2213.5,-6.7
"133",2020-01-19,2020,1,19,1,3,"S08000015","NHS Ayrshire and Arran",1,"All",365,451.5,-19.2
"134",2020-01-19,2020,1,19,1,3,"S08000015","NHS Ayrshire and Arran",2,"All",283,300.5,-5.8
"135",2020-01-19,2020,1,19,1,3,"S08000015","NHS Ayrshire and Arran",3,"All",173,202.5,-14.6
"136",2020-01-19,2020,1,19,1,3,"S08000015","NHS Ayrshire and Arran",4,"All",135,141.5,-4.6
"137",2020-01-19,2020,1,19,1,3,"S08000015","NHS Ayrshire and Arran",5,"All",99,108,-8.3
"138",2020-01-19,2020,1,19,1,3,"S08000016","NHS Borders",1,"All",14,18.5,-24.3
"139",2020-01-19,2020,1,19,1,3,"S08000016","NHS Borders",2,"All",39,46,-15.2
"140",2020-01-19,2020,1,19,1,3,"S08000016","NHS Borders",3,"All",99,105.5,-6.2
"141",2020-01-19,2020,1,19,1,3,"S08000016","NHS Borders",4,"All",70,59.5,17.6
"142",2020-01-19,2020,1,19,1,3,"S08000016","NHS Borders",5,"All",13,11,18.2
"143",2020-01-19,2020,1,19,1,3,"S08000017","NHS Dumfries and Galloway",1,"All",44,48.5,-9.3
"144",2020-01-19,2020,1,19,1,3,"S08000017","NHS Dumfries and Galloway",2,"All",114,136,-16.2
"145",2020-01-19,2020,1,19,1,3,"S08000017","NHS Dumfries and Galloway",3,"All",142,168,-15.5
"146",2020-01-19,2020,1,19,1,3,"S08000017","NHS Dumfries and Galloway",4,"All",86,58,48.3
"147",2020-01-19,2020,1,19,1,3,"S08000017","NHS Dumfries and Galloway",5,"All",31,33.5,-7.5
"148",2020-01-19,2020,1,19,1,3,"S08000019","NHS Forth Valley",1,"All",178,286,-37.8
"149",2020-01-19,2020,1,19,1,3,"S08000019","NHS Forth Valley",2,"All",189,327.5,-42.3
"150",2020-01-19,2020,1,19,1,3,"S08000019","NHS Forth Valley",3,"All",175,263,-33.5
"151",2020-01-19,2020,1,19,1,3,"S08000019","NHS Forth Valley",4,"All",142,220,-35.5
"152",2020-01-19,2020,1,19,1,3,"S08000019","NHS Forth Valley",5,"All",104,190.5,-45.4
"153",2020-01-19,2020,1,19,1,3,"S08000020","NHS Grampian",1,"All",104,117.5,-11.5
"154",2020-01-19,2020,1,19,1,3,"S08000020","NHS Grampian",2,"All",257,256.5,0.2
"155",2020-01-19,2020,1,19,1,3,"S08000020","NHS Grampian",3,"All",322,300,7.3
"156",2020-01-19,2020,1,19,1,3,"S08000020","NHS Grampian",4,"All",351,386.5,-9.2
"157",2020-01-19,2020,1,19,1,3,"S08000020","NHS Grampian",5,"All",314,292.5,7.4
"158",2020-01-19,2020,1,19,1,3,"S08000022","NHS Highland",1,"All",83,99,-16.2
"159",2020-01-19,2020,1,19,1,3,"S08000022","NHS Highland",2,"All",156,154,1.3
"160",2020-01-19,2020,1,19,1,3,"S08000022","NHS Highland",3,"All",272,284.5,-4.4
"161",2020-01-19,2020,1,19,1,3,"S08000022","NHS Highland",4,"All",197,204.5,-3.7
"162",2020-01-19,2020,1,19,1,3,"S08000022","NHS Highland",5,"All",50,44,13.6
"163",2020-01-19,2020,1,19,1,3,"S08000024","NHS Lothian",1,"All",396,361,9.7
"164",2020-01-19,2020,1,19,1,3,"S08000024","NHS Lothian",2,"All",667,514.5,29.6
"165",2020-01-19,2020,1,19,1,3,"S08000024","NHS Lothian",3,"All",398,366.5,8.6
"166",2020-01-19,2020,1,19,1,3,"S08000024","NHS Lothian",4,"All",405,355,14.1
"167",2020-01-19,2020,1,19,1,3,"S08000024","NHS Lothian",5,"All",527,451,16.9
"168",2020-01-19,2020,1,19,1,3,"S08000025","NHS Orkney",2,"All",10,8.5,17.6
"169",2020-01-19,2020,1,19,1,3,"S08000025","NHS Orkney",3,"All",8,9.5,-15.8
"170",2020-01-19,2020,1,19,1,3,"S08000025","NHS Orkney",4,"All",29,25,16
"171",2020-01-19,2020,1,19,1,3,"S08000026","NHS Shetland",3,"All",10,18,-44.4
"172",2020-01-19,2020,1,19,1,3,"S08000026","NHS Shetland",4,"All",14,27.5,-49.1
"173",2020-01-19,2020,1,19,1,3,"S08000028","NHS Western Isles",2,"All",8,14.5,-44.8
"174",2020-01-19,2020,1,19,1,3,"S08000028","NHS Western Isles",3,"All",62,59.5,4.2
"175",2020-01-19,2020,1,19,1,3,"S08000029","NHS Fife",1,"All",264,246,7.3
"176",2020-01-19,2020,1,19,1,3,"S08000029","NHS Fife",2,"All",256,224.5,14
"177",2020-01-19,2020,1,19,1,3,"S08000029","NHS Fife",3,"All",166,190,-12.6
"178",2020-01-19,2020,1,19,1,3,"S08000029","NHS Fife",4,"All",163,137.5,18.5
"179",2020-01-19,2020,1,19,1,3,"S08000029","NHS Fife",5,"All",125,105,19
"180",2020-01-19,2020,1,19,1,3,"S08000030","NHS Tayside",1,"All",276,272,1.5
"181",2020-01-19,2020,1,19,1,3,"S08000030","NHS Tayside",2,"All",263,229.5,14.6
"182",2020-01-19,2020,1,19,1,3,"S08000030","NHS Tayside",3,"All",232,257,-9.7
"183",2020-01-19,2020,1,19,1,3,"S08000030","NHS Tayside",4,"All",301,326.5,-7.8
"184",2020-01-19,2020,1,19,1,3,"S08000030","NHS Tayside",5,"All",221,222.5,-0.7
"185",2020-01-19,2020,1,19,1,3,"S08000031","NHS Greater Glasgow and Clyde",1,"All",1654,1640.5,0.8
"186",2020-01-19,2020,1,19,1,3,"S08000031","NHS Greater Glasgow and Clyde",2,"All",774,836.5,-7.5
"187",2020-01-19,2020,1,19,1,3,"S08000031","NHS Greater Glasgow and Clyde",3,"All",556,568,-2.1
"188",2020-01-19,2020,1,19,1,3,"S08000031","NHS Greater Glasgow and Clyde",4,"All",518,485,6.8
"189",2020-01-19,2020,1,19,1,3,"S08000031","NHS Greater Glasgow and Clyde",5,"All",559,583.5,-4.2
"190",2020-01-19,2020,1,19,1,3,"S08000032","NHS Lanarkshire",1,"All",545,584.5,-6.8
"191",2020-01-19,2020,1,19,1,3,"S08000032","NHS Lanarkshire",2,"All",453,455.5,-0.5
"192",2020-01-19,2020,1,19,1,3,"S08000032","NHS Lanarkshire",3,"All",286,289,-1
"193",2020-01-19,2020,1,19,1,3,"S08000032","NHS Lanarkshire",4,"All",235,221.5,6.1
"194",2020-01-19,2020,1,19,1,3,"S08000032","NHS Lanarkshire",5,"All",136,154.5,-12
"195",2020-01-19,2020,1,19,1,3,NA,NA,1,"All",3923,4125.5,-4.9
"196",2020-01-19,2020,1,19,1,3,NA,NA,2,"All",3472,3506,-1
"197",2020-01-19,2020,1,19,1,3,NA,NA,3,"All",2901,3081,-5.8
"198",2020-01-19,2020,1,19,1,3,NA,NA,4,"All",2646,2648,-0.1
"199",2020-01-19,2020,1,19,1,3,NA,NA,5,"All",2179,2196,-0.8
"200",2020-01-26,2020,1,26,1,4,"S08000015","NHS Ayrshire and Arran",1,"All",375,436.5,-14.1
"201",2020-01-26,2020,1,26,1,4,"S08000015","NHS Ayrshire and Arran",2,"All",254,268,-5.2
"202",2020-01-26,2020,1,26,1,4,"S08000015","NHS Ayrshire and Arran",3,"All",172,203,-15.3
"203",2020-01-26,2020,1,26,1,4,"S08000015","NHS Ayrshire and Arran",4,"All",136,147,-7.5
"204",2020-01-26,2020,1,26,1,4,"S08000015","NHS Ayrshire and Arran",5,"All",100,112,-10.7
"205",2020-01-26,2020,1,26,1,4,"S08000016","NHS Borders",1,"All",20,17.5,14.3
"206",2020-01-26,2020,1,26,1,4,"S08000016","NHS Borders",2,"All",62,54,14.8
"207",2020-01-26,2020,1,26,1,4,"S08000016","NHS Borders",3,"All",89,97,-8.2
"208",2020-01-26,2020,1,26,1,4,"S08000016","NHS Borders",4,"All",61,59.5,2.5
"209",2020-01-26,2020,1,26,1,4,"S08000016","NHS Borders",5,"All",10,19,-47.4
"210",2020-01-26,2020,1,26,1,4,"S08000017","NHS Dumfries and Galloway",1,"All",37,55,-32.7
"211",2020-01-26,2020,1,26,1,4,"S08000017","NHS Dumfries and Galloway",2,"All",139,125.5,10.8
"212",2020-01-26,2020,1,26,1,4,"S08000017","NHS Dumfries and Galloway",3,"All",150,165.5,-9.4
"213",2020-01-26,2020,1,26,1,4,"S08000017","NHS Dumfries and Galloway",4,"All",59,61.5,-4.1
"214",2020-01-26,2020,1,26,1,4,"S08000017","NHS Dumfries and Galloway",5,"All",33,36,-8.3
"215",2020-01-26,2020,1,26,1,4,"S08000019","NHS Forth Valley",1,"All",176,353.5,-50.2
"216",2020-01-26,2020,1,26,1,4,"S08000019","NHS Forth Valley",2,"All",189,307.5,-38.5
"217",2020-01-26,2020,1,26,1,4,"S08000019","NHS Forth Valley",3,"All",174,307,-43.3
"218",2020-01-26,2020,1,26,1,4,"S08000019","NHS Forth Valley",4,"All",126,240.5,-47.6
"219",2020-01-26,2020,1,26,1,4,"S08000019","NHS Forth Valley",5,"All",111,179,-38
"220",2020-01-26,2020,1,26,1,4,"S08000020","NHS Grampian",1,"All",104,107.5,-3.3
"221",2020-01-26,2020,1,26,1,4,"S08000020","NHS Grampian",2,"All",262,274,-4.4
"222",2020-01-26,2020,1,26,1,4,"S08000020","NHS Grampian",3,"All",298,289,3.1
"223",2020-01-26,2020,1,26,1,4,"S08000020","NHS Grampian",4,"All",366,387,-5.4
"224",2020-01-26,2020,1,26,1,4,"S08000020","NHS Grampian",5,"All",305,309.5,-1.5
"225",2020-01-26,2020,1,26,1,4,"S08000022","NHS Highland",1,"All",101,103,-1.9
"226",2020-01-26,2020,1,26,1,4,"S08000022","NHS Highland",2,"All",145,173.5,-16.4
"227",2020-01-26,2020,1,26,1,4,"S08000022","NHS Highland",3,"All",286,259.5,10.2
"228",2020-01-26,2020,1,26,1,4,"S08000022","NHS Highland",4,"All",181,203,-10.8
"229",2020-01-26,2020,1,26,1,4,"S08000022","NHS Highland",5,"All",54,49,10.2
"230",2020-01-26,2020,1,26,1,4,"S08000024","NHS Lothian",1,"All",397,355,11.8
"231",2020-01-26,2020,1,26,1,4,"S08000024","NHS Lothian",2,"All",632,541,16.8
"232",2020-01-26,2020,1,26,1,4,"S08000024","NHS Lothian",3,"All",459,409,12.2
"233",2020-01-26,2020,1,26,1,4,"S08000024","NHS Lothian",4,"All",412,366,12.6
"234",2020-01-26,2020,1,26,1,4,"S08000024","NHS Lothian",5,"All",535,470.5,13.7
"235",2020-01-26,2020,1,26,1,4,"S08000025","NHS Orkney",2,"All",5,7.5,-33.3
"236",2020-01-26,2020,1,26,1,4,"S08000025","NHS Orkney",3,"All",7,11.5,-39.1
"237",2020-01-26,2020,1,26,1,4,"S08000025","NHS Orkney",4,"All",13,23,-43.5
"238",2020-01-26,2020,1,26,1,4,"S08000026","NHS Shetland",3,"All",17,14.5,17.2
"239",2020-01-26,2020,1,26,1,4,"S08000026","NHS Shetland",4,"All",26,20,30
"240",2020-01-26,2020,1,26,1,4,"S08000028","NHS Western Isles",2,"All",7,13,-46.2
"241",2020-01-26,2020,1,26,1,4,"S08000028","NHS Western Isles",3,"All",57,65,-12.3
"242",2020-01-26,2020,1,26,1,4,"S08000029","NHS Fife",1,"All",257,242.5,6
"243",2020-01-26,2020,1,26,1,4,"S08000029","NHS Fife",2,"All",222,223.5,-0.7
"244",2020-01-26,2020,1,26,1,4,"S08000029","NHS Fife",3,"All",197,189.5,4
"245",2020-01-26,2020,1,26,1,4,"S08000029","NHS Fife",4,"All",153,146.5,4.4
"246",2020-01-26,2020,1,26,1,4,"S08000029","NHS Fife",5,"All",110,113,-2.7
"247",2020-01-26,2020,1,26,1,4,"S08000030","NHS Tayside",1,"All",267,279,-4.3
"248",2020-01-26,2020,1,26,1,4,"S08000030","NHS Tayside",2,"All",252,257,-1.9
"249",2020-01-26,2020,1,26,1,4,"S08000030","NHS Tayside",3,"All",278,249.5,11.4
"250",2020-01-26,2020,1,26,1,4,"S08000030","NHS Tayside",4,"All",305,312,-2.2
"251",2020-01-26,2020,1,26,1,4,"S08000030","NHS Tayside",5,"All",187,209.5,-10.7
"252",2020-01-26,2020,1,26,1,4,"S08000031","NHS Greater Glasgow and Clyde",1,"All",1601,1697.5,-5.7
"253",2020-01-26,2020,1,26,1,4,"S08000031","NHS Greater Glasgow and Clyde",2,"All",809,763,6
"254",2020-01-26,2020,1,26,1,4,"S08000031","NHS Greater Glasgow and Clyde",3,"All",640,550,16.4
"255",2020-01-26,2020,1,26,1,4,"S08000031","NHS Greater Glasgow and Clyde",4,"All",470,508,-7.5
"256",2020-01-26,2020,1,26,1,4,"S08000031","NHS Greater Glasgow and Clyde",5,"All",613,584,5
"257",2020-01-26,2020,1,26,1,4,"S08000032","NHS Lanarkshire",1,"All",572,605,-5.5
"258",2020-01-26,2020,1,26,1,4,"S08000032","NHS Lanarkshire",2,"All",449,513,-12.5
"259",2020-01-26,2020,1,26,1,4,"S08000032","NHS Lanarkshire",3,"All",268,317,-15.5
"260",2020-01-26,2020,1,26,1,4,"S08000032","NHS Lanarkshire",4,"All",203,232,-12.5
"261",2020-01-26,2020,1,26,1,4,"S08000032","NHS Lanarkshire",5,"All",133,162,-17.9
"262",2020-01-26,2020,1,26,1,4,NA,NA,1,"All",3907,4252.5,-8.1
"263",2020-01-26,2020,1,26,1,4,NA,NA,2,"All",3429,3522.5,-2.7
"264",2020-01-26,2020,1,26,1,4,NA,NA,3,"All",3092,3127,-1.1
"265",2020-01-26,2020,1,26,1,4,NA,NA,4,"All",2511,2706,-7.2
"266",2020-01-26,2020,1,26,1,4,NA,NA,5,"All",2192,2244,-2.3
"267",2020-02-02,2020,2,2,1,5,"S08000015","NHS Ayrshire and Arran",1,"All",396,447,-11.4
"268",2020-02-02,2020,2,2,1,5,"S08000015","NHS Ayrshire and Arran",2,"All",244,270.5,-9.8
"269",2020-02-02,2020,2,2,1,5,"S08000015","NHS Ayrshire and Arran",3,"All",174,197.5,-11.9
"270",2020-02-02,2020,2,2,1,5,"S08000015","NHS Ayrshire and Arran",4,"All",138,116.5,18.5
"271",2020-02-02,2020,2,2,1,5,"S08000015","NHS Ayrshire and Arran",5,"All",96,118,-18.6
"272",2020-02-02,2020,2,2,1,5,"S08000016","NHS Borders",1,"All",24,21.5,11.6
"273",2020-02-02,2020,2,2,1,5,"S08000016","NHS Borders",2,"All",46,63,-27
