year_quarter,hb,location,specialty,specialty_name,all_staffed_beddays,total_occupied_beddays,average_available_staffed_beds,average_occupied_beds,percentage_occupancy,hb_name,country.x,shb_name,country.y
2017 Q2,SB0801,SB0801,C3,Anaesthetics,8,8,0.087912088,0.087912088,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,D102H,C3,Anaesthetics,7,7,0.076086957,0.076086957,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,SB0801,C3,Anaesthetics,7,7,0.076086957,0.076086957,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,D102H,C3,Anaesthetics,56,56,0.615384615,0.615384615,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,SB0801,C3,Anaesthetics,56,56,0.615384615,0.615384615,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,D102H,C3,Anaesthetics,17,17,0.184782609,0.184782609,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,SB0801,C3,Anaesthetics,17,17,0.184782609,0.184782609,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,D102H,C3,Anaesthetics,36,36,0.4,0.4,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,SB0801,C3,Anaesthetics,36,36,0.4,0.4,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,D102H,C3,Anaesthetics,1,1,0.010869565,0.010869565,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,SB0801,C3,Anaesthetics,1,1,0.010869565,0.010869565,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,D102H,C3,Anaesthetics,24,24,0.260869565,0.260869565,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,SB0801,C3,Anaesthetics,24,24,0.260869565,0.260869565,100,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,D102H,A2,Cardiology,2443,2162,26.55434783,23.5,88.49774867,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,SB0801,A2,Cardiology,2443,2162,26.55434783,23.5,88.49774867,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,D102H,A2,Cardiology,2306,2032,25.62222222,22.57777778,88.11795317,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,SB0801,A2,Cardiology,2306,2032,25.62222222,22.57777778,88.11795317,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,D102H,A2,Cardiology,2561,2268,28.14285714,24.92307692,88.55915658,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,SB0801,A2,Cardiology,2561,2268,28.14285714,24.92307692,88.55915658,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,D102H,A2,Cardiology,2492,2148,27.08695652,23.34782609,86.19582665,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,SB0801,A2,Cardiology,2492,2148,27.08695652,23.34782609,86.19582665,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,D102H,A2,Cardiology,2635,2312,28.64130435,25.13043478,87.74193548,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,SB0801,A2,Cardiology,2635,2312,28.64130435,25.13043478,87.74193548,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,D102H,A2,Cardiology,2395,2050,26.61111111,22.77777778,85.59498956,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,SB0801,A2,Cardiology,2395,2050,26.61111111,22.77777778,85.59498956,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,D102H,A2,Cardiology,2574,2294,28.28571429,25.20879121,89.12198912,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,SB0801,A2,Cardiology,2574,2294,28.28571429,25.20879121,89.12198912,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,D102H,A2,Cardiology,2728,2396,29.65217391,26.04347826,87.82991202,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,SB0801,A2,Cardiology,2728,2396,29.65217391,26.04347826,87.82991202,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,D102H,A2,Cardiology,2920,2574,31.73913043,27.97826087,88.15068493,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,SB0801,A2,Cardiology,2920,2574,31.73913043,27.97826087,88.15068493,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,D102H,A2,Cardiology,2757,2483,30.63333333,27.58888889,90.06166123,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,SB0801,A2,Cardiology,2757,2483,30.63333333,27.58888889,90.06166123,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,D102H,A2,Cardiology,2637,2363,28.97802198,25.96703297,89.60940463,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,SB0801,A2,Cardiology,2637,2363,28.97802198,25.96703297,89.60940463,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,D102H,A2,Cardiology,2740,2352,29.7826087,25.56521739,85.83941606,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,SB0801,A2,Cardiology,2740,2352,29.7826087,25.56521739,85.83941606,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,D102H,A2,Cardiology,2591,2276,28.16304348,24.73913043,87.84253184,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,SB0801,A2,Cardiology,2591,2276,28.16304348,24.73913043,87.84253184,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,D102H,A2,Cardiology,2692,2248,29.58241758,24.7032967,83.50668648,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,SB0801,A2,Cardiology,2692,2248,29.58241758,24.7032967,83.50668648,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,D102H,A2,Cardiology,4515,3294,49.61538462,36.1978022,72.95681063,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,SB0801,A2,Cardiology,4515,3294,49.61538462,36.1978022,72.95681063,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,D102H,A2,Cardiology,4112,3011,44.69565217,32.72826087,73.22470817,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,SB0801,A2,Cardiology,4112,3011,44.69565217,32.72826087,73.22470817,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,D102H,A2,Cardiology,3667,2548,39.85869565,27.69565217,69.48459231,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,SB0801,A2,Cardiology,3667,2548,39.85869565,27.69565217,69.48459231,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,D102H,A2,Cardiology,4251,3061,47.23333333,34.01111111,72.00658669,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,SB0801,A2,Cardiology,4251,3061,47.23333333,34.01111111,72.00658669,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,D102H,A2,Cardiology,3400,3118,37.36263736,34.26373626,91.70588235,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,SB0801,A2,Cardiology,3400,3118,37.36263736,34.26373626,91.70588235,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,D102H,A2,Cardiology,3682,3196,40.02173913,34.73913043,86.80065182,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,SB0801,A2,Cardiology,3682,3196,40.02173913,34.73913043,86.80065182,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,D102H,A2,Cardiology,4530,3746,49.23913043,40.7173913,82.69315673,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,SB0801,A2,Cardiology,4530,3746,49.23913043,40.7173913,82.69315673,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,D102H,C4,Cardiothoracic Surgery,8043,5576,87.42391304,60.60869565,69.32736541,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,SB0801,C4,Cardiothoracic Surgery,8043,5576,87.42391304,60.60869565,69.32736541,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,D102H,C4,Cardiothoracic Surgery,7771,5234,86.34444444,58.15555556,67.35297902,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,SB0801,C4,Cardiothoracic Surgery,7771,5234,86.34444444,58.15555556,67.35297902,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,D102H,C4,Cardiothoracic Surgery,7581,5418,83.30769231,59.53846154,71.46814404,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,SB0801,C4,Cardiothoracic Surgery,7581,5418,83.30769231,59.53846154,71.46814404,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,D102H,C4,Cardiothoracic Surgery,7675,5552,83.42391304,60.34782609,72.33876221,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,SB0801,C4,Cardiothoracic Surgery,7675,5552,83.42391304,60.34782609,72.33876221,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,D102H,C4,Cardiothoracic Surgery,7791,5661,84.68478261,61.5326087,72.66076242,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,SB0801,C4,Cardiothoracic Surgery,7791,5661,84.68478261,61.5326087,72.66076242,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,D102H,C4,Cardiothoracic Surgery,7781,5858,86.45555556,65.08888889,75.28595296,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,SB0801,C4,Cardiothoracic Surgery,7781,5858,86.45555556,65.08888889,75.28595296,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,D102H,C4,Cardiothoracic Surgery,7818,6052,85.91208791,66.50549451,77.41110258,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,SB0801,C4,Cardiothoracic Surgery,7818,6052,85.91208791,66.50549451,77.41110258,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,D102H,C4,Cardiothoracic Surgery,7681,5916,83.48913043,64.30434783,77.0212212,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,SB0801,C4,Cardiothoracic Surgery,7681,5916,83.48913043,64.30434783,77.0212212,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,D102H,C4,Cardiothoracic Surgery,7176,5497,78,59.75,76.6025641,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,SB0801,C4,Cardiothoracic Surgery,7176,5497,78,59.75,76.6025641,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,D102H,C4,Cardiothoracic Surgery,7230,5644,80.33333333,62.71111111,78.06362379,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,SB0801,C4,Cardiothoracic Surgery,7230,5644,80.33333333,62.71111111,78.06362379,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,D102H,C4,Cardiothoracic Surgery,7428,6188,81.62637363,68,83.30640819,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,SB0801,C4,Cardiothoracic Surgery,7428,6188,81.62637363,68,83.30640819,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,D102H,C4,Cardiothoracic Surgery,7644,6197,83.08695652,67.35869565,81.07012036,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,SB0801,C4,Cardiothoracic Surgery,7644,6197,83.08695652,67.35869565,81.07012036,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,D102H,C4,Cardiothoracic Surgery,7877,6165,85.61956522,67.01086957,78.26583725,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,SB0801,C4,Cardiothoracic Surgery,7877,6165,85.61956522,67.01086957,78.26583725,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,D102H,C4,Cardiothoracic Surgery,7486,5828,82.26373626,64.04395604,77.85199038,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,SB0801,C4,Cardiothoracic Surgery,7486,5828,82.26373626,64.04395604,77.85199038,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,D102H,C4,Cardiothoracic Surgery,6612,3707,72.65934066,40.73626374,56.06473079,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,SB0801,C4,Cardiothoracic Surgery,6612,3707,72.65934066,40.73626374,56.06473079,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,D102H,C4,Cardiothoracic Surgery,7074,5123,76.89130435,55.68478261,72.42013005,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,SB0801,C4,Cardiothoracic Surgery,7074,5123,76.89130435,55.68478261,72.42013005,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,D102H,C4,Cardiothoracic Surgery,6981,5396,75.88043478,58.65217391,77.2955164,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,SB0801,C4,Cardiothoracic Surgery,6981,5396,75.88043478,58.65217391,77.2955164,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,D102H,C4,Cardiothoracic Surgery,7232,5083,80.35555556,56.47777778,70.28484513,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,SB0801,C4,Cardiothoracic Surgery,7232,5083,80.35555556,56.47777778,70.28484513,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,D102H,C4,Cardiothoracic Surgery,7502,5413,82.43956044,59.48351648,72.15409224,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,SB0801,C4,Cardiothoracic Surgery,7502,5413,82.43956044,59.48351648,72.15409224,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,D102H,C4,Cardiothoracic Surgery,7688,5321,83.56521739,57.83695652,69.21175858,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,SB0801,C4,Cardiothoracic Surgery,7688,5321,83.56521739,57.83695652,69.21175858,NA,NA,The Golden Jubilee National Hospital,S92000003
